,lastname,firstname,gender,type,state,party,bioguideid,cspanid,gt_id,
,Hatton,Robert,M,rep,TN,Ind. Republican-Democrat,H000349,,405218,
,Haun,Henry,M,sen,CA,Democrat,H000353,,405222,
,Hawkins,George,M,rep,FL,Democrat,H000369,,405238,
,Helmick,William,M,rep,OH,Republican,H000462,,405327,
,Hemphill,John,M,sen,TX,Democrat,H000468,,405331,
,Hindman,Thomas,M,rep,AR,Democrat,H000628,,405485,
,Hoard,Charles,M,rep,NY,Republican,H000658,,405513,
,Howard,William,M,rep,OH,Democrat,H000846,,405693,
,Howard,William,M,rep,MI,Republican,H000847,,405694,
,Hughes,George,M,rep,MD,Democrat,H000921,,405766,
,Hunter,Robert,M,sen,VA,Democrat,H000988,,405829,
,Irvine,William,M,rep,NY,Republican,I000036,,405893,
,Jackson,James,M,rep,GA,Democrat,J000016,,405924,
,Jenkins,Albert,M,rep,VA,Democrat,J000081,,405984,
,Jones,John,M,rep,GA,Democrat,J000235,,406128,
,Junkin,Benjamin,M,rep,PA,Republican,J000281,,406173,
,Keitt,Laurence,,rep,SC,Democrat,K000054,,406224,
,Kenyon,William,M,rep,NY,Republican,K000128,,406294,
,Kilgore,David,M,rep,IN,Republican,K000175,,406338,
,Kunkel,Jacob,M,rep,MD,Democrat,K000339,,406492,
,Landrum,John,M,rep,LA,Democrat,L000053,,406562,
,Lane,Joseph,M,sen,OR,Democrat,L000062,,406571,
,Larrabee,Charles,M,rep,WI,Democrat,L000099,,406606,
,Leach,De,,rep,MI,Republican,L000168,,406672,
,Leake,Shelton,,rep,VA,Ind. Democrat,L000176,,406678,
,Lee,Moses,M,rep,NY,Republican,L000199,,406702,
,Longnecker,Henry,M,rep,PA,Republican,L000432,,406923,
,Love,Peter,M,rep,GA,Democrat,L000457,,406946,
,Maclay,William,M,rep,NY,Democrat,M000032,,407060,
,Martin,Charles,M,rep,OH,Democrat,M000171,,407193,
,Martin,Elbert,,rep,VA,Ind. Democrat,M000179,,412163,
,McKenty,Jacob,M,rep,PA,Democrat,M000503,,407498,
,McQueen,John,M,rep,SC,Democrat,M000595,,407584,
,McRae,John,M,rep,MS,Democrat,M000596,,407585,
,Miles,William,M,rep,SC,Democrat,M000707,,407690,
,Millson,John,M,rep,VA,Democrat,M000780,,407758,
,Millward,William,M,rep,PA,Republican,M000782,,407760,
,Montgomery,William,M,rep,PA,Democrat,M000875,,407847,
,Moore,Laban,,rep,KY,Ind. Republican-Democrat,M000907,,407879,
,Moore,Sydenham,,rep,AL,Democrat,M000918,,407890,
,Morris,Isaac,M,rep,IL,Democrat,M000977,,407945,
,Morse,Freeman,,rep,ME,Republican,M001010,,407977,
,Nicholson,Alfred,M,sen,TN,Democrat,N000096,,408181,
,Otero,Miguel,,rep,NM,,O000125,,408378,
,Palmer,George,M,rep,NY,Republican,P000039,,408449,
,Parrott,Marcus,,rep,KS,Republican,P000085,,408495,
,Pennington,William,M,rep,NJ,Republican,P000214,,408617,
,Perry,John,M,rep,ME,Republican,P000243,,408646,
,Pettit,John,M,rep,IN,Republican,P000278,,408678,
,Peyton,Samuel,M,rep,KY,Democrat,P000284,,408684,
,Pottle,Emory,,rep,NY,Republican,P000470,,408856,
,Powell,Lazarus,,sen,KY,Democrat,P000481,,408866,
,Pryor,Roger,M,rep,VA,Democrat,P000558,,408941,
,Quarles,James,M,rep,TN,Ind. Republican-Democrat,Q000002,,408966,
,Reynolds,Edwin,M,rep,NY,Republican,R000171,,409147,
,Reynolds,John,M,rep,NY,Anti-Lecompton Democrat,R000175,,409151,
,Riggs,Jetur,,rep,NJ,Anti-Lecompton Democrat,R000254,,409230,
,Robinson,Christopher,M,rep,RI,Republican,R000333,,409304,
,Royce,Homer,M,rep,VT,Republican,R000488,,409447,
,Ruffin,Thomas,M,rep,NC,Democrat,R000499,,409458,
,Rust,Albert,M,rep,AR,Democrat,R000544,,412093,
,Schwartz,John,M,rep,PA,Anti-Lecompton Democrat,S000158,,409665,
,Scott,Charles,M,rep,CA,Democrat,S000167,,409674,
,Sebastian,William,M,sen,AR,Democrat,S000216,,409721,
,Simms,William,M,rep,KY,Democrat,S000421,,409915,
,Smith,Delazon,,sen,OR,Democrat,S000526,,410009,
,Smith,William,M,rep,VA,Democrat,S000627,,410102,
,Smith,William,M,rep,NC,Ind. Republican-Democrat,S000634,,410108,
,Somes,Daniel,M,rep,ME,Republican,S000678,,410150,
,Spink,Cyrus,,rep,OH,Republican,S000735,,410204,
,Spinner,Francis,,rep,NY,Republican,S000737,,410206,
,Stallworth,James,M,rep,AL,Democrat,S000786,,410252,
,Stanton,Benjamin,M,rep,OH,Republican,S000801,,410267,
,Stevens,Isaac,M,rep,WA,Democrat,S000881,,410343,
,Stewart,James,M,rep,MD,Democrat,S000910,,410371,
,Stewart,William,M,rep,PA,Republican,S000921,,410381,
,Stout,Lansing,,rep,OR,Democrat,S000981,,410440,
,Tappan,Mason,,rep,NH,Republican,T000040,,410628,
,Taylor,Miles,,rep,LA,Democrat,T000094,,410677,
,Ten Eyck,John,M,sen,NJ,Republican,T000122,,410705,
,Thayer,Eli,,rep,MA,Republican,T000145,,410727,
,Theaker,Thomas,M,rep,OH,Republican,T000151,,410733,
,Thomas,James,M,rep,TN,Democrat,T000170,,410751,
,Tompkins,Cydnor,,rep,OH,Republican,T000305,,410878,
,Toombs,Robert,M,sen,GA,Democrat,T000313,,410886,
,Underwood,John,M,rep,GA,Democrat,U000010,,411034,
,Wade,Edward,M,rep,OH,Republican,W000006,,411185,
,Washburn,Israel,,rep,ME,Republican,W000173,,411346,
,Wells,Alfred,M,rep,NY,Republican,W000280,,411445,
,Whiteley,William,M,rep,DE,Democrat,W000409,,411569,
,Wigfall,Louis,M,sen,TX,Democrat,W000447,,411604,
,Wilson,James,M,rep,IN,Republican,W000589,,411746,
,Winslow,Warren,M,rep,NC,Democrat,W000640,,411794,
,Wood,John,M,rep,PA,Republican,W000696,,411848,
,Woodruff,John,M,rep,CT,Republican,W000717,,411869,
,Woodson,Samuel,M,rep,MO,American,W000728,,411881,
,Wright,John,M,rep,TN,Democrat,W000765,,411914,
,Baker,Edward,M,sen,OR,Republican,B000059,,401064,
,Latham,Milton,M,sen,CA,Democrat,L000110,,406617,
,Lincoln,Abraham,M,rep,IL,Whig,L000313,,406807,
,Adams,Charles,M,rep,MA,Republican,A000032,,400693,
,Aldrich,Cyrus,,rep,MN,Republican,A000081,,400740,
,Allen,William,M,rep,OH,Democrat,A000149,,400805,
,Appleton,William,M,rep,MA,Constitutional Unionist,A000270,,400909,
,Babbitt,Elijah,M,rep,PA,Republican,B000002,,401008,
,Bailey,Goldsmith,,rep,MA,Republican,B000038,,401043,
,Baker,Stephen,M,rep,NY,Republican,B000074,,401077,
,Bernhisel,John,M,rep,UT,Whig,B000412,,401399,
,Biddle,Charles,M,rep,PA,Democrat,B000439,,401425,
,Blair,Samuel,M,rep,PA,Republican,B000529,,401504,
,Blake,Harrison,,rep,OH,Republican,B000531,,401506,
,Breckinridge,John,M,sen,KY,Democrat,B000789,,401746,
,Bridges,George,M,rep,TN,Unionist,B000822,,401779,
,Browne,George,M,rep,RI,Unionist,B000956,,401908,
,Browning,Orville,,sen,IL,Republican,B000960,,401912,
,Burnett,Henry,M,rep,KY,Democrat,B001120,,402065,
,Burnham,Alfred,M,rep,CT,Republican,B001123,,402068,
,Calvert,Charles,M,rep,MD,Unionist,C000058,,402217,
,Campbell,James,M,rep,PA,Republican,C000088,,402244,
,Carlile,John,M,sen,VA,Unionist,C000150,,402299,
,Casey,Samuel,M,rep,KY,Unionist,C000229,,402374,
,Chamberlain,Jacob,M,rep,NY,Republican,C000278,,402421,
,Chase,Salmon,,sen,OH,Republican,C000332,,402473,
,Clark,Daniel,M,sen,NH,Republican,C000427,,402565,
,Clark,John,M,rep,MO,Democrat,C000441,,402579,
,Clements,Andrew,M,rep,TN,Unionist,C000505,,402641,
,Cobb,George,M,rep,NJ,Democrat,C000546,,402679,
,Collamer,Jacob,M,sen,VT,Republican,C000628,,402757,
,Conkling,Frederick,M,rep,NY,Republican,C000680,,402806,
,Conway,Martin,M,rep,KS,Republican,C000713,,402837,
,Cooper,Thomas,M,rep,PA,Democrat,C000763,,402883,
,Corwin,Thomas,M,rep,OH,Republican,C000791,,402911,
,Cowan,Edgar,M,sen,PA,Republican,C000819,,402937,
,Cradlebaugh,John,M,rep,NV,,C000850,,402966,
,Crisfield,John,M,rep,MD,Unionist,C000907,,403019,
,Crittenden,John,M,rep,KY,Unionist,C000912,,403024,
,Curtis,Samuel,M,rep,IA,Republican,C001013,,403120,
,Cutler,William,M,rep,OH,Republican,C001027,,403134,
,Davis,William,M,rep,PA,Republican,D000143,,403276,
,De Jarnette,Daniel,M,rep,VA,Independent Democrat,D000202,,403307,
,Delano,Charles,M,rep,MA,Republican,D000213,,403357,
,Delaplaine,Isaac,M,rep,NY,Democrat,D000215,,403359,
,Diven,Alexander,M,rep,NY,Republican,D000364,,403481,
,Dunlap,George,M,rep,KY,Unionist,D000542,,403650,
,Dunn,William,M,rep,IN,Republican,D000554,,403661,
,Edgerton,Sidney,,rep,OH,Republican,E000048,,403743,
,Edwards,Thomas,M,rep,NH,Republican,E000081,,403773,
,Ely,Alfred,M,rep,NY,Republican,E000164,,403855,
,Fessenden,Samuel,M,rep,ME,Republican,F000097,,404054,
,Fessenden,Thomas,M,rep,ME,Republican,F000098,,404055,
,Fisher,George,M,rep,DE,Unionist,F000147,,404102,
,Flanders,Benjamin,M,rep,LA,Unionist,F000189,,404144,
,Foster,Lafayette,,sen,CT,Republican,F000308,,404257,
,Fouke,Philip,M,rep,IL,Democrat,F000316,,404265,
,Franchot,Richard,M,rep,NY,Republican,F000334,,404283,
,Granger,Bradley,,rep,MI,Republican,G000374,,404726,
,Gurley,John,M,rep,OH,Republican,G000530,,404875,
,Haight,Edward,M,rep,NY,Democrat,H000021,,404906,
,Hanchett,Luther,M,rep,WI,Republican,H000145,,405027,
,Harris,Ira,,sen,NY,Republican,H000242,,405120,
,Harrison,Richard,M,rep,OH,Unionist,H000274,,405149,
,Hickman,John,M,rep,PA,Republican,H000562,,405424,
,Horton,Valentine,,rep,OH,Republican,H000800,,405649,
,Hutchins,John,M,rep,OH,Republican,H001008,,405848,
,Jackson,James,M,rep,KY,Unionist,J000019,,405926,
,Johnson,Waldo,,sen,MO,Democrat,J000179,,406074,
,Kellogg,William,M,rep,IL,Republican,K000068,,406238,
,Kerrigan,James,M,rep,NY,Ind. Democrat,K000147,,406312,
,Lane,Henry,M,sen,IN,Republican,L000060,,406569,
,Leary,Cornelius,M,rep,MD,Unionist,L000179,,406681,
,Lehman,William,M,rep,PA,Democrat,L000227,,406731,
,Loomis,Dwight,,rep,CT,Republican,L000438,,406929,
,Low,Frederick,M,rep,CA,Republican,L000469,,406958,
,May,Henry,M,rep,MD,Unionist,M000275,,407293,
,McClernand,John,M,rep,IL,Democrat,M000337,,407346,
,McDougall,James,M,sen,CA,Democrat,M000416,,407416,
,McKean,James,M,rep,NY,Republican,M000491,,407486,
,McKnight,Robert,M,rep,PA,Republican,M000531,,407523,
,McPherson,Edward,M,rep,PA,Republican,M000591,,407580,
,Menzies,John,M,rep,KY,Unionist,M000641,,407627,
,Mitchel,Charles,M,sen,AR,Democrat,M000801,,407777,
,Mitchell,William,M,rep,IN,Republican,M000830,,407805,
,Morrill,Anson,,rep,ME,Republican,M000967,,407935,
,Morris,Edward,M,rep,PA,Republican,M000975,,407943,
,Nelson,Thomas,M,rep,TN,,N000042,,408132,
,Nixon,John,M,rep,NJ,Republican,N000115,,408199,
,Norton,Elijah,M,rep,MO,Democrat,N000148,,408230,
,Nugen,Robert,M,rep,OH,Democrat,N000168,,408249,
,Olin,Abram,,rep,NY,Republican,O000066,,408339,
,Pearce,James,M,sen,MD,Democrat,P000161,,408566,
,Phelps,John,M,rep,MO,Democrat,P000296,,408696,
,Phelps,Timothy,M,rep,CA,Republican,P000300,,408700,
,Porter,Albert,M,rep,IN,Republican,P000435,,408826,
,Potter,John,M,rep,WI,Republican,P000465,,408852,
,Price,Thomas,M,rep,MO,Democrat,P000532,,408916,
,Reid,John,M,rep,MO,Democrat,R000149,,409126,
,Riddle,Albert,M,rep,OH,Republican,R000238,,409214,
,Scranton,George,M,rep,PA,Republican,S000191,,409696,
,Sedgwick,Charles,M,rep,NY,Republican,S000221,,409726,
,Sherman,Socrates,,rep,NY,Republican,S000350,,409846,
,Shiel,George,M,rep,OR,Democrat,S000358,,409854,
,Sloan,Andrew,M,rep,WI,Republican,S000490,,409978,
,Smith,Edward,M,rep,NY,Democrat,S000529,,410012,
,Spaulding,Elbridge,,rep,NY,Republican,S000705,,410176,
,Stark,Benjamin,M,sen,OR,Democrat,S000809,,410275,
,Stratton,John,M,rep,NJ,Republican,S000995,,410453,
,Thayer,Andrew,M,rep,OR,Democrat,T000144,,410726,
,Thomas,Benjamin,M,rep,MA,Unionist,T000157,,410739,
,Train,Charles,M,rep,MA,Republican,T000352,,410922,
,Trimble,Carey,,rep,OH,Republican,T000371,,410940,
,Upton,Charles,M,rep,VA,Unionist,U000030,,411053,
,Vallandigham,Clement,,rep,OH,Democrat,V000008,,411067,
,Verree,John,M,rep,PA,Republican,V000090,,411145,
,Vibbard,Chauncey,,rep,NY,Democrat,V000094,,411149,
,Walker,Amasa,,rep,MA,Republican,W000045,,411225,
,Wall,William,M,rep,NY,Republican,W000073,,411252,
,Walton,Charles,M,rep,ME,Republican,W000112,,411290,
,Walton,Eliakim,,rep,VT,Republican,W000113,,411291,
,Watts,John,M,rep,NM,Republican,W000213,,411382,
,White,Albert,M,rep,IN,Republican,W000351,,411513,
,Wickliffe,Charles,M,rep,KY,Unionist,W000442,,411600,
,Wilmot,David,M,sen,PA,Republican,W000566,,411722,
,Woodruff,George,M,rep,CT,Democrat,W000716,,411868,
,Worcester,Samuel,M,rep,OH,Republican,W000741,,411891,
,Arnold,Samuel,M,sen,RI,Republican,A000295,,400937,
,Field,Richard,M,sen,NJ,Republican,F000106,,404063,
,Harding,Benjamin,M,sen,OR,Democrat,H000189,,405070,
,Henderson,John,M,sen,MO,Republican,H000483,,405346,
,Hicks,Thomas,M,sen,MD,Unconditional Unionist,H000567,,405429,
,Wilson,Robert,M,sen,MO,Unionist,W000609,,411764,
,Wright,Joseph,M,sen,IN,Unionist,W000766,,411915,
,Allen,James,M,rep,IL,Democrat,A000128,,400784,
,Allen,William,M,rep,IL,Democrat,A000152,,400807,
,Anderson,Lucien,,rep,KY,Unconditional Unionist,A000201,,400856,
,Arnold,Isaac,M,rep,IL,Republican,A000288,,400930,
,Bailey,Joseph,M,rep,PA,Democrat,B000043,,401048,
,Baldwin,Augustus,M,rep,MI,Democrat,B000085,,401087,
,Bennet,Hiram,,rep,CO,Conservative Republican,B000369,,401361,
,Blair,Jacob,M,rep,WV,Unconditional Unionist,B000525,,401501,
,Bliss,George,M,rep,OH,Democrat,B000559,,401533,
,Bowden,Lemuel,,sen,VA,Unionist,B000678,,401640,
,Brown,Benjamin,M,sen,MO,Republican,B000905,,401862,
,Brown,James,M,rep,WI,Democrat,B000922,,401877,
,Brown,William,M,rep,VA,Unconditional Unionist,B000948,,401901,
,Clark,Ambrose,,rep,NY,Republican,C000420,,402559,
,Clay,Brutus,,rep,KY,Unionist,C000479,,402617,
,Cole,George,M,rep,WA,Democrat,C000609,,402738,
,Conness,John,M,sen,CA,Republican,C000695,,402820,
,Corning,Erastus,,rep,NY,Democrat,C000784,,402904,
,Cravens,James,M,rep,IN,Democrat,C000883,,402995,
,Daily,Samuel,M,rep,NE,Republican,D000006,,403150,
,Davis,Henry,M,rep,MD,Unconditional Unionist,D000104,,403240,
,Dixon,James,M,sen,CT,Republican,D000369,,403486,
,Doolittle,James,M,sen,WI,Republican,D000428,,403540,
,Edgerton,Joseph,M,rep,IN,Democrat,E000047,,403742,
,Foot,Solomon,M,sen,VT,Republican,F000248,,404201,
,Frank,Augustus,M,rep,NY,Republican,F000338,,404287,
,Ganson,John,M,rep,NY,Democrat,G000042,,404417,
,Hale,James,M,rep,PA,Ind. Republican,H000032,,404917,
,Hall,William,M,rep,MO,Unionist,H000079,,404962,
,Harrington,Henry,M,rep,IN,Democrat,H000229,,405107,
,Harris,Charles,M,rep,IL,Democrat,H000234,,405112,
,Hendricks,Thomas,M,sen,IN,Democrat,H000493,,405356,
,Herrick,Anson,,rep,NY,Democrat,H000537,,405399,
,Hutchins,Wells,,rep,OH,Democrat,H001010,,405850,
,Jayne,William,M,rep,DK,,J000066,,405971,
,Johnson,Reverdy,,sen,MD,Democrat,J000169,,406066,
,Johnston,William,M,rep,OH,Democrat,J000201,,406096,
,Kalbfleisch,Martin,M,rep,NY,Democrat,K000005,,406179,
,King,Austin,,rep,MO,Unionist,K000194,,406355,
,Kinney,John,M,rep,UT,Democrat,K000225,,406384,
,Knapp,Anthony,M,rep,IL,Democrat,K000276,,406433,
,Knox,Samuel,M,rep,MO,Unconditional Unionist,K000297,,406453,
,Law,John,M,rep,IN,Democrat,L000125,,406630,
,Lazear,Jesse,,rep,PA,Democrat,L000154,,406659,
,Littlejohn,De,,rep,NY,Republican,L000357,,406849,
,Long,Alexander,M,rep,OH,Democrat,L000410,,406901,
,Lovejoy,Owen,,rep,IL,Republican,L000462,,406951,
,Mallory,Robert,M,rep,KY,Unionist,M000082,,407109,
,Marcy,Daniel,M,rep,NH,Democrat,M000126,,407150,
,McAllister,Archibald,M,rep,PA,Democrat,M000295,,407310,
,McBride,John,M,rep,OR,Republican,M000301,,407316,
,McDowell,James,M,rep,IN,Democrat,M000420,,407420,
,Middleton,George,M,rep,NJ,Democrat,M000697,,407681,
,Miller,William,M,rep,PA,Democrat,M000763,,407741,
,Morgan,Edwin,M,sen,NY,Republican,M000949,,407917,
,Morris,James,M,rep,OH,Democrat,M000978,,407946,
,Mott,Gordon,,rep,NV,Republican,M001038,,408005,
,Myers,Amos,,rep,PA,Republican,M001126,,408088,
,Nelson,Homer,M,rep,NY,Democrat,N000034,,408124,
,Noble,Warren,M,rep,OH,Democrat,N000119,,408203,
,Noell,John,M,rep,MO,Unconditional Unionist,N000122,,408206,
,Norton,Jesse,,rep,IL,Republican,N000151,,408233,
,O'Neill,John,M,rep,OH,Democrat,O000096,,408305,
,Odell,Moses,M,rep,NY,Democrat,O000037,,408322,
,Perea,Francisco,,rep,NM,Republican,P000224,,408627,
,Perry,Nehemiah,,rep,NJ,Democrat,P000244,,408647,
,Poston,Charles,M,rep,AZ,Republican,P000458,,408845,
,Richardson,William,M,sen,IL,Democrat,R000228,,409204,
,Rollins,James,M,rep,MO,Unionist,R000412,,409378,
,Scott,John,M,rep,MO,Democrat,S000178,,409684,
,Segar,Joseph,M,rep,VA,Unionist,S000227,,409732,
,Shannon,Thomas,M,rep,CA,Republican,S000290,,409789,
,Smithers,Nathaniel,M,rep,DE,Unconditional Unionist,S000642,,410116,
,Stebbins,Henry,M,rep,NY,Democrat,S000825,,410289,
,Steele,John,M,rep,NY,Democrat,S000833,,410297,
,Steele,William,M,rep,NJ,Democrat,S000839,,410303,
,Stuart,John,M,rep,IL,Democrat,S001035,,410491,
,Sweat,Lorenzo,,rep,ME,Democrat,S001100,,410552,
,Temple,William,M,rep,DE,Democrat,T000120,,410702,
,Todd,John,M,rep,DK,Democrat,T000292,,410865,
,Tracy,Henry,M,rep,PA,Ind. Republican,T000345,,410916,
,Van Valkenburgh,Robert,M,rep,NY,Republican,V000061,,411103,
,Van Winkle,Peter,M,sen,WV,Republican,V000066,,411108,
,Wade,Benjamin,M,sen,OH,Republican,W000005,,411184,
,Wall,James,M,sen,NJ,Democrat,W000072,,411251,
,Wallace,William,M,rep,ID,Republican,W000086,,411265,
,Wheeler,Ezra,,rep,WI,Democrat,W000332,,411494,
,White,Chilton,,rep,OH,Democrat,W000360,,411522,
,White,Joseph,M,rep,OH,Democrat,W000384,,411544,
,Wilder,Abel,,rep,KS,Republican,W000461,,411618,
,Worthington,Henry,M,rep,NV,Republican,W000747,,411896,
,Wright,William,M,sen,NJ,Democrat,W000772,,411921,
,Yeaman,George,M,rep,KY,Unionist,Y000015,,411949,
,Farwell,Nathan,M,sen,ME,Republican,F000038,,403999,
,Riddle,George,M,sen,DE,Democrat,R000239,,409215,
,Alley,John,M,rep,MA,Republican,A000155,,400810,
,Ancona,Sydenham,,rep,PA,Democrat,A000178,,400833,
,Barker,Abraham,M,rep,PA,Republican,B000142,,401143,
,Baxter,Portus,,rep,VT,Republican,B000246,,401240,
,Bergen,Teunis,,rep,NY,Democrat,B000406,,401394,
,Bidwell,John,M,rep,CA,Republican,B000447,,401432,
,Blow,Henry,M,rep,MO,Republican,B000572,,401545,
,Brandegee,Augustus,M,rep,CT,Republican,B000768,,401727,
,Campbell,William,M,rep,TN,Unionist,C000104,,402257,
,Cooper,Edmund,M,rep,TN,Unionist,C000747,,402868,
,Creswell,John,M,sen,MD,Unconditional Unionist,C000904,,403016,
,Culver,Charles,M,rep,PA,Republican,C000977,,403088,
,Darling,William,M,rep,NY,Republican,D000055,,403194,
,Davis,Thomas,M,rep,NY,Republican,D000139,,403272,
,Dawson,John,M,rep,PA,Democrat,D000153,,403286,
,Defrees,Joseph,M,rep,IN,Republican,D000192,,403350,
,Deming,Henry,M,rep,CT,Republican,D000227,,403366,
,Denny,Arthur,M,rep,WA,Republican,D000247,,403385,
,Dodge,William,M,rep,NY,Republican,D000397,,403512,
,Dumont,Ebenezer,M,rep,IN,Republican,D000524,,403634,
,Farquhar,John,M,rep,IN,Republican,F000026,,403988,
,Fessenden,William,M,sen,ME,Republican,F000099,,404056,
,Goodwin,John,M,rep,AZ,Republican,G000301,,404660,
,Goodyear,Charles,M,rep,NY,Democrat,G000307,,404666,
,Grider,Henry,M,rep,KY,Democrat,G000455,,404800,
,Grimes,James,M,sen,IA,Republican,G000475,,404820,
,Grinnell,Josiah,M,rep,IA,Republican,G000478,,404823,
,Guthrie,James,M,sen,KY,Democrat,G000534,,404879,
,Harding,Aaron,M,rep,KY,Democrat,H000187,,405068,
,Harris,Benjamin,M,rep,MD,Democrat,H000232,,405110,
,Hart,Roswell,,rep,NY,Republican,H000292,,405165,
,Henderson,James,M,rep,OR,Republican,H000480,,405343,
,Hill,Ralph,M,rep,IN,Republican,H000604,,405465,
,Hogan,John,M,rep,MO,Democrat,H000691,,405544,
,Holmes,Sidney,,rep,NY,Republican,H000742,,405593,
,Howard,Jacob,M,sen,MI,Republican,H000839,,405686,
,Hubbard,Demas,,rep,NY,Republican,H000881,,405727,
,Hubbard,John,M,rep,CT,Republican,H000885,,405731,
,Hubbell,Edwin,M,rep,NY,Democrat,H000892,,405738,
,Hubbell,James,M,rep,OH,Republican,H000893,,405739,
,Humphrey,James,M,rep,NY,Republican,H000954,,405798,
,Hunter,John,M,rep,NY,Democrat,H000984,,405826,
,Johnson,Philip,M,rep,PA,Democrat,J000168,,406065,
,Jones,Morgan,,rep,NY,Democrat,J000242,,406135,
,Kellogg,Orlando,,rep,NY,Republican,K000066,,406236,
,Kelso,John,M,rep,MO,Ind. Republican,K000081,,406250,
,Kuykendall,Andrew,M,rep,IL,Republican,K000347,,406500,
,Lane,James,M,sen,KS,Republican,L000061,,406570,
,Latham,George,M,rep,WV,Unconditional Unionist,L000107,,406614,
,Le Blond,Francis,,rep,OH,Democrat,L000156,,406660,
,Leftwich,John,M,rep,TN,Unionist,L000217,,406721,
,Longyear,John,M,rep,MI,Republican,L000434,,406925,
,McIndoe,Walter,M,rep,WI,Republican,M000476,,407474,
,McLean,Samuel,M,rep,MT,Democrat,M000551,,407543,
,McRuer,Donald,M,rep,CA,Republican,M000600,,407589,
,Morris,Daniel,M,rep,NY,Republican,M000974,,407942,
,Newell,William,M,rep,NJ,Republican,N000066,,408154,
,Norton,Daniel,M,sen,MN,Democrat,N000145,,408228,
,Radford,William,M,rep,NY,Democrat,R000007,,408990,
,Randall,William,M,rep,KY,Unconditional Unionist,R000040,,409021,
,Raymond,Henry,M,rep,NY,Republican,R000084,,409064,
,Rice,Alexander,M,rep,MA,Republican,R000193,,409169,
,Rice,John,M,rep,ME,Republican,R000201,,409177,
,Ritter,Burwell,,rep,KY,Democrat,R000276,,409250,
,Rogers,Andrew,M,rep,NJ,Democrat,R000387,,409355,
,Rousseau,Lovell,,rep,KY,Unconditional Unionist,R000468,,409429,
,Saulsbury,Willard,,sen,DE,Democrat,S000074,,409586,
,Shanklin,George,M,rep,KY,Democrat,S000283,,409782,
,Sloan,Ithamar,,rep,WI,Republican,S000492,,409980,
,Smith,Green,,rep,KY,Unconditional Unionist,S000544,,410026,
,Starr,John,M,rep,NJ,Republican,S000817,,410282,
,Stilwell,Thomas,M,rep,IN,Republican,S000926,,410386,
,Strouse,Myer,,rep,PA,Democrat,S001026,,410483,
,Taylor,Nathaniel,M,rep,TN,Unionist,T000095,,410678,
,Taylor,Nelson,,rep,NY,Democrat,T000096,,410679,
,Thayer,Martin,M,rep,PA,Republican,T000150,,410732,
,Thomas,John,M,rep,MD,Unconditional Unionist,T000174,,410755,
,Thornton,Anthony,M,rep,IL,Democrat,T000240,,410818,
,Ward,Andrew,M,rep,KY,Democrat,W000126,,411301,
,Warner,Samuel,M,rep,CT,Republican,W000157,,411330,
,Webster,Edwin,M,rep,MD,Unconditional Unionist,W000239,,411407,
,Wentworth,John,M,rep,IL,Republican,W000295,,411459,
,Whaley,Kellian,,rep,WV,Unconditional Unionist,W000318,,411480,
,Willey,Waitman,,sen,WV,Republican,W000484,,411641,
,Williams,George,M,sen,OR,Republican,W000498,,411655,
,Winfield,Charles,M,rep,NY,Democrat,W000630,,411784,
,Wright,Edwin,M,rep,NJ,Democrat,W000758,,411907,
,Yates,Richard,M,sen,IL,Republican,Y000012,,411945,
,Cattell,Alexander,M,sen,NJ,Republican,C000254,,402398,
,Fogg,George,M,sen,NH,Republican,F000234,,404189,
,Fowler,Joseph,M,sen,TN,Republican,F000324,,404273,
,Patterson,David,M,sen,TN,Democrat,P000110,,408518,
,Ross,Edmund,M,sen,KS,Republican,R000445,,409409,
,Anderson,George,M,rep,MO,Republican,A000188,,400843,
,Ashley,Delos,,rep,NV,Republican,A000312,,400956,
,Ashley,James,M,rep,OH,Republican,A000314,,400958,
,Baldwin,John,M,rep,MA,Republican,B000091,,401093,
,Barnes,Demas,,rep,NY,Democrat,B000156,,401158,
,Bashford,Coles,,rep,AZ,Independent,B000219,,401216,
,Bayard,James,M,sen,DE,Democrat,B000248,,401242,
,Blackburn,William,M,rep,LA,Republican,B000510,,401489,
,Boyden,Nathaniel,M,rep,NC,Conservative,B000722,,401682,
,Boyer,Benjamin,M,rep,PA,Democrat,B000723,,401683,
,Bromwell,Henry,M,rep,IL,Republican,B000865,,401822,
,Broomall,John,M,rep,PA,Republican,B000889,,401846,
,Buckland,Ralph,M,rep,OH,Republican,B001022,,401972,
,Burleigh,Walter,M,rep,DK,Republican,B001108,,402053,
,Callis,John,M,rep,AL,Republican,C000057,,402216,
,Cary,Samuel,M,rep,OH,Ind. Republican,C000216,,402362,
,Chanler,John,M,rep,NY,Democrat,C000302,,402444,
,Clarke,Reader,,rep,OH,Republican,C000468,,402606,
,Clever,Charles,M,rep,NM,,C000517,,402652,
,Cole,Cornelius,M,sen,CA,Republican,C000607,,402736,
,Colfax,Schuyler,,rep,IN,Republican,C000626,,402755,
,Corbett,Henry,M,sen,OR,Republican,C000771,,402891,
,Corley,Manuel,,rep,SC,Republican,C000778,,402898,
,Davis,Garrett,,sen,KY,Democrat,D000099,,403235,
,Delano,Columbus,,rep,OH,Republican,D000214,,403358,
,Denison,Charles,M,rep,PA,Democrat,D000235,,403373,
,Dodge,Grenville,,rep,IA,Republican,D000395,,403510,
