,lastname,firstname,gender,type,state,party,bioguideid,cspanid,gt_id,
,Buck,Daniel,M,rep,VT,Federalist,B001014,,401964,
,Coles,Isaac,M,rep,VA,Republican,C000624,,402753,
,Crabb,Jeremiah,M,rep,MD,Federalist,C000848,,402964,
,Dearborn,Henry,M,rep,MA,Republican,D000178,,403340,
,Duvall,Gabriel,,rep,MD,Republican,D000578,,403681,
,Earle,Samuel,M,rep,SC,Republican,E000010,,403706,
,Gilbert,Ezekiel,,rep,NY,Federalist,G000173,,404539,
,Greenup,Christopher,M,rep,KY,Republican,G000434,,404782,
,Gunn,James,M,sen,GA,Federalist,G000526,,404870,
,Hancock,George,M,rep,VA,Federalist,H000148,,405030,
,Hathorn,John,M,rep,NY,Republican,H000348,,405217,
,Heath,John,M,rep,VA,Republican,H000431,,405297,
,Henderson,Thomas,M,rep,NJ,Federalist,H000488,,405351,
,Henry,John,M,sen,MD,Federalist,H000508,,405370,
,Langdon,John,M,sen,NH,Republican,L000067,,406576,
,Leonard,George,M,rep,MA,Federalist,L000246,,406749,
,Lyman,William,M,rep,MA,Republican,L000530,,407014,
,Marshall,Humphrey,,sen,KY,Federalist,M000155,,407176,
,Muhlenberg,Frederick,M,rep,PA,Republican,M001063,,408029,
,Murray,William,M,rep,MD,Federalist,M001119,,408082,
,Orr,Alexander,M,rep,KY,Republican,O000101,,408358,
,Page,John,M,rep,VA,Republican,P000018,,408429,
,Paine,Elijah,M,sen,VT,Federalist,P000026,,408437,
,Patten,John,M,rep,DE,Republican,P000108,,408516,
,Preston,Francis,,rep,VA,Republican,P000514,,408899,
,Read,Jacob,M,sen,SC,Federalist,R000092,,409072,
,Richards,John,M,rep,PA,Republican,R000215,,409191,
,Rutherford,Robert,M,rep,VA,Republican,R000548,,409504,
,Sherburne,John,M,rep,NH,Republican,S000339,,409836,
,Smith,Isaac,M,rep,NJ,Federalist,S000555,,410037,
,Sprigg,Thomas,M,rep,MD,Republican,S000753,,410220,
,Strudwick,William,M,rep,NC,Federalist,S001029,,412181,
,Swift,Zephaniah,,rep,CT,Federalist,S001119,,410571,
,Tatom,Absalom,,rep,NC,Republican,T000050,,410638,
,Trumbull,Jonathan,M,sen,CT,Federalist,T000389,,410958,
,White,James,M,rep,TN,,W000377,,411538,
,Blount,William,M,sen,TN,Republican,B000570,,401543,
,Goodhue,Benjamin,M,sen,MA,Federalist,G000286,,404647,
,Howard,John,M,sen,MD,Federalist,H000841,,405688,
,Hunter,John,M,sen,SC,Republican,H000982,,412128,
,Laurance,John,M,sen,NY,Federalist,L000120,,406626,
,Tattnall,Josiah,M,sen,GA,Republican,T000052,,410640,
,Allen,John,M,rep,CT,Federalist,A000129,,400785,
,Benton,Lemuel,,rep,SC,Republican,B000396,,401387,
,Bradbury,Theophilus,,rep,MA,Federalist,B000735,,401695,
,Brooks,David,M,rep,NY,Federalist,B000875,,401832,
,Bryan,Nathan,M,rep,NC,Republican,B000991,,401943,
,Bullock,Stephen,M,rep,MA,Federalist,B001053,,402001,
,Burges,Dempsey,,rep,NC,Republican,B001081,,402027,
,Chapman,John,M,rep,PA,Federalist,C000313,,402455,
,Chipman,Nathaniel,M,sen,VT,Federalist,C000369,,402508,
,Cochran,James,M,rep,NY,Federalist,C000563,,402694,
,Coit,Joshua,M,rep,CT,Federalist,C000600,,402729,
,Davenport,James,M,rep,CT,Federalist,D000073,,403211,
,Ege,George,M,rep,PA,Federalist,E000089,,403782,
,Foster,Theodore,M,sen,RI,Republican,F000313,,404262,
,Freeman,Nathaniel,M,rep,MA,Republican,F000365,,404311,
,Harrison,Carter,,rep,VA,Republican,H000266,,412155,
,Hosmer,Hezekiah,,rep,NY,Federalist,H000803,,405652,
,Latimer,Henry,M,sen,DE,Federalist,L000115,,406621,
,Lloyd,James,M,sen,MD,Federalist,L000377,,406869,
,Locke,Matthew,M,rep,NC,Republican,L000389,,406881,
,Machir,James,M,rep,VA,Federalist,M000013,,412066,
,Mason,Stevens,,sen,VA,Republican,M000226,,407244,
,Matthews,William,M,rep,MD,Federalist,M000256,,407274,
,McClenachan,Blair,,rep,PA,Republican,M000336,,412070,
,McDowell,Joseph,M,rep,NC,Republican,M000423,,407424,
,Morgan,Daniel,M,rep,VA,Federalist,M000946,,407914,
,Parker,Isaac,M,rep,MA,Federalist,P000058,,408468,
,Ross,James,M,sen,PA,Federalist,R000448,,409412,
,Rutherfurd,John,M,sen,NJ,Federalist,R000550,,409506,
,Schuyler,Philip,M,sen,NY,Federalist,S000154,,409661,
,Sinnickson,Thomas,M,rep,NJ,Federalist,S000448,,409941,
,Sitgreaves,Samuel,M,rep,PA,Federalist,S000460,,409952,
,Smith,Jeremiah,M,rep,NH,Federalist,S000563,,410045,
,Smith,Nathaniel,M,rep,CT,Federalist,S000595,,410075,
,Smith,William,M,rep,SC,Republican,S000625,,410100,
,Smith,William,M,rep,SC,Federalist,S000633,,410107,
,Sprague,Peleg,,rep,NH,Federalist,S000743,,410212,
,Swanwick,John,M,rep,PA,Republican,S001095,,410548,
,Thomson,Mark,M,rep,NJ,Federalist,T000232,,410811,
,Van Alen,John,M,rep,NY,Federalist,V000012,,411070,
,Williams,John,M,rep,NY,Federalist,W000513,,411671,
,Clayton,Joshua,M,sen,DE,Federalist,C000497,,402634,
,Hobart,John,M,sen,NY,Federalist,H000661,,405516,
,North,William,M,sen,NY,Federalist,N000142,,408226,
,Watson,James,M,sen,NY,Federalist,W000202,,411373,
,Bartlett,Bailey,,rep,MA,Federalist,B000198,,401197,
,Brace,Jonathan,M,rep,CT,Federalist,B000731,,401691,
,Brown,John,M,rep,RI,Federalist,B000927,,401882,
,Brown,John,M,sen,KY,Republican,B000929,,401881,
,Christie,Gabriel,,rep,MD,Republican,C000382,,402521,
,Cocke,William,M,sen,TN,Republican,C000572,,402701,
,Cooper,William,M,rep,NY,Federalist,C000764,,402884,
,Craik,William,M,rep,MD,Federalist,C000863,,402978,
,Davenport,Franklin,M,rep,NJ,Federalist,D000069,,403207,
,Dayton,Jonathan,M,sen,NJ,Federalist,D000165,,403297,
,Dent,George,M,rep,MD,Federalist,D000254,,403392,
,Dexter,Samuel,M,sen,MA,Federalist,D000296,,403419,
,Dickson,Joseph,M,rep,NC,Federalist,D000331,,403449,
,Edmond,William,M,rep,CT,Federalist,E000052,,403747,
